id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
986696523398010089,Hotel in Columbus · ★5.0 · 1 bedroom · 1 bed · 1 bath,501999514,RoomPicks,,Downtown,39.96964034023394,-83.00108152521024,Private room,399,1,4,2023-12-23,2.67,22,329,4,2019-1234
986696530694898208,Hotel in Columbus · 1 bedroom · 1 bed · 1 bath,501999514,RoomPicks,,Downtown,39.96899868597318,-83.00128152718538,Private room,399,1,2,2023-11-12,1.33,22,330,2,2019-1234
986832328739862184,Home in Columbus · 1 bedroom · 1 bed · 1.5 shared baths,456168090,Joy,,Near East,39.97049674432932,-82.97011872576039,Private room,22,30,1,2023-10-27,0.50,8,268,1,
986833933947399359,Home in Columbus · 1 bedroom · 1 bed · 1.5 shared baths,456168090,Joy,,Near East,39.97252939430916,-82.97240409685539,Private room,25,30,1,2023-11-04,0.58,8,61,1,2019-1234
986872937508140508,Rental unit in Columbus · ★4.91 · 1 bedroom · 1 bed · 1 bath,507778434,LC GuestHouse,,Downtown,39.95726519999999,-83.0000025,Entire home/apt,111,1,11,2023-12-10,4.12,21,268,11,2023-2713
986916860956024377,Home in Columbus · 4 bedrooms · 4 beds · 2.5 baths,177205580,Adrian,,Near East,39.96737342085704,-82.97232003533645,Entire home/apt,208,2,0,,,12,230,0,2023-2064
986938401939649530,Rental unit in Columbus · ★4.46 · 1 bedroom · 1 bed · 1 bath,235497311,Marc (TailwindSTR),,Eastmoor/Walnut Ridge,39.95409089723779,-82.92373384528061,Entire home/apt,72,1,12,2023-12-02,5.37,44,0,12,2021-1942
986971469056912002,Home in Columbus · 4 bedrooms · 5 beds · 3.5 baths,193752346,Christopher,,Near North/University,39.99108074790082,-82.9955353424912,Entire home/apt,165,30,0,,,1,31,0,
987006053823700060,Home in Columbus · 3 bedrooms · 4 beds · 1.5 baths,519443040,Houspitality,,Near North/University,40.010227770717734,-83.0027982279106,Entire home/apt,139,1,2,2023-11-24,1.36,6,365,2,2023-4626
987125597234398698,Home in Columbus · ★4.83 · 1 bedroom · 1 bed · 3 baths,275084618,Judy,,Northland,40.06678279399065,-82.98584394160832,Private room,34,5,6,2023-12-22,2.14,10,257,6,2019-2310
987130322822851243,Home in Columbus · 1 bedroom · 1 bed · 3 baths,275084618,Judy,,Northland,40.065687,-82.9867481,Private room,34,3,2,2023-12-18,2,10,260,2,2019-2310
987663448937286689,Home in Columbus · 1 bedroom · 1 bed · 1 bath,275084618,Judy,,Northland,40.065687,-82.9867481,Private room,37,5,1,2023-10-01,0.35,10,167,1,2019-2310
987768539902298256,Home in Columbus · ★5.0 · 1 bedroom · 1 bed · 1.5 baths,206609,James,,Near North/University,39.977873,-83.01039899999999,Entire home/apt,278,2,5,2023-11-25,1.85,1,0,5,2023-4703
988412296086142042,Home in Columbus · ★4.50 · 3 bedrooms · 3 beds · 2 baths,158439641,GH Hospitality,,Eastmoor/Walnut Ridge,39.97543889625164,-82.91702050999622,Entire home/apt,262,1,4,2023-11-25,1.46,89,361,4,2023-4289
988633684059318186,Home in Columbus · ★New · 3 bedrooms · 3.5 baths,57926440,Ariana,,Near North/University,39.9855485,-83.015767,Entire home/apt,116,2,0,,,1,222,0,2023-4804
989016377262401934,Home in Columbus · ★5.0 · 4 bedrooms · 4 beds · 3.5 baths,345450411,Evan,,Near North/University,39.98495168074178,-83.01561117135951,Entire home/apt,225,2,8,2023-11-25,2.86,13,162,8,2023-3919
